No	Livre	Book	Vol	Series	Pages	Region	Type of Place	Place Raw	"Place Raw, Paris, France"	Quartier	Lat	Long	"Lat, Long"	Description	Types Involved	Characters (Full Name)	Characters (CSV)
1	La messe de l'athée	MA 	VII	La Comédie Humaine	89	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Water-carrier lives in the Saint-Jacques quarter		Water-carrier	Water-carrier
	La peau de chagrin	PC 	XXVII	La Comédie Humaine	211	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Mme Gaudin could purchase the whole Saint-Jacques quarter		Mme Gaudin	Mme Gaudin
	Les petits bourgeois	PB	XX	La Comédie Humaine	35	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Phéllion lives in the Saint-Jacques quarter		Phéllion	Phéllion
	Les petits bourgeois	PB	XX	La Comédie Humaine	38	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Barniol is held in esteem in the Saint-Jacques quarter		Barniol	Barniol
	Les petits bourgeois	PB	XX	La Comédie Humaine	54	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	56	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	112	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	128	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	House where Cérizet conducts his business is characteristic of the faubourg Saint-Jacques		Cérizet	Cérizet
	Petit dictionnaire critique des enseignes de Paris  	DE  	XXXVIII  	Enseignes de Paris	179	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Saint-Jacques Quarter			
	Le Bois de Boulogne et le Luxembourg	BBL 	XXXIX	La Comédie Humaine	54	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Saint-Jacques Quarter			
