Place	City	Region	Country	Fictional	Type of Place	Vol	Book	Series	Start Page	End Page	Description	Associated People	Page	Page All Volumes	Date	Lat	Long	"Lat,Long"	No	Book Start page	Book End page	Also Known as
Indre		Centre-Val de Loire	France	Historical	Region	I	Avant-propos	Avant-propos	13	13			13	13		47.19857	-1.671124	"47.19857,-1.671124"	1	3	16	
Le Havre	Le Havre	Normandie	France	Historical	Ville	I	La Maison du chat-qui-pelote	Scènes de la vie privée	22	22			22	22		49.5	0.13002	"49.5,0.13002"	2	17	71	
Louviers	Louviers	Normandie	France	Historical		I	La Maison du chat-qui-pelote	Scènes de la vie privée	24	24	Les fils de riches manufacturiers de Louviers et de Sedan font des stages comme commis dans les magasins de Paris		24	24		49.22	1.17	"49.22,1.17"	3	17	71	Sedan
Ingouville	Le Havre	Normandie	France	Historical	Faubourg	I	Modeste Mignon	Scènes de la vie privée	444	444			444	444		49.49682	0.110245	"49.49682,0.110245"	4	358	599	
Dieppe	Dieppe		France	Historical	City	I	La Maison du chat-qui-pelote	Scènes de la vie privée	60	60			60	60		49.9272	1.07936	"49.9272,1.07936"	5	17	71	
Messin	Messin		France	Historical		I	Un début dans la vie	Scènes de la vie privée	62	62			62	62		45.691589	5.52472	"45.691589,5.52472"	6	600	751	
Bretagne		Bretagne	France	Historical	Région	I	Le Bal de Sceaux	Scènes de la vie privée	72	72			72	72		48.179924	-2.851556	"48.179924,-2.851556"	7	72	127	
Poitou	Poitou		France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	72	72			72	72		46.6486	-0.2478	"46.6486,-0.2478"	8	72	127	
Saint-Ouen	Saint-Ouen		France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	74	74	Les ultra-royalistes pensent que Louis XVIII et M. Beugnot ont tout gâté à Saint-Ouen	Louis XVIII::M. Beugnot	74	74		47.80982	1.081308	"47.80982,1.081308"	9	72	127	
Fontaine	Fontaine		France	Fictional	Domaine	I	Le Bal de Sceaux	Scènes de la vie privée	77	77	Domaine de la famille du même nom	Fontaine	77	77		46.64669	0.38259	"46.64669,0.38259"	10	72	127	
Bourges	Bourges		France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	81	81			81	81		47.085855	2.39293	"47.085855,2.39293"	11	72	127	
Fontaine	Fontaine		France	Fictional	Domaine	I	Le Bal de Sceaux	Scènes de la vie privée	81	81			81	86		46.64669	0.38259	"46.64669,0.38259"	12	72	127	
Vendée	Vendée		France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	81	81			81	81		46.675905	-1.46893	"46.675905,-1.46893"	13	72	127	
Longchamp	Longchamp		France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	86	86			86	86		48.85875	2.23278	"48.85875,2.23278"	14	72	127	
Antony	Antony	Hauts-de-Seine	France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	94	94	"Le clan Fontaine va passer la belle saison dans les beaux sites d'Aulnay, d'Antony et de Châtenay"		94	94		48.752640	2.302650	"48.752640,2.302650"	15	72	127	
Antony	Antony	Hauts-de-Seine	France	Historical		I	Le Bal de Sceaux	Scènes de la vie privée	95	95	"Les poétiques ombrages d'Aulnay, les collines d'Antony et la vallée de Biévre sont habités par quelques artistes qui ont voyagé, par des étrangers, gens fort diffciles, et par nombre de jolies femmes qui ne manquent pas de gout."		95	95		48.752640	2.302650	"48.752640,2.302650"	16	72	127	
