Place	Latitude	Longitude	LatLong	Also Known as	Fictional	City	Country	Associated People	Volumes & Pages	Volume	Start page	End Page	Events
Abbaye-Aux-Bois	48.8489	2.3275	"48.8489,2.3275"	"Acacias, Allee Des."	No	Paris	France			IV	317-521	317-521	Disused convent in Paris where Mme Recamier lived and held her salon and where Chareaubriand was a regular visitor
Agrigento	37.310845	 13.576383	"37.310845, 13.576383"		No	Agrigento	Italy	Marcel;Prince d'Agrigente		III	500	500	Sicily. Evoked by M on being introduced to the Prince d'Agrigente.
Alençon	48.3763	0.0893	"48.3763,0.0893"		No	Alençon	France						"Capital Of The Orne Department. Eating habits that are considered unacceptable in ""the best society of Alençon"": II 294; the ""high society"" of Alençon: IV 360."
Amsterdam	52.373095	 4.893305	"52.373095, 4.893305"		No	Amsterdam	Netherlands	Albertine;Marcel	"III 605, IV 246"				"Visited by M: III 605. Visited by Albertine; the gulfs in Amsterdam; IV 246 (cf. V 439, 448, 492). "
"Andelys, Les"	49.1952	1.4104	"49.1952,1.4104"		No	Andelys	France			III	138	138	"Les, town on the lower Seine. A house there contains one of Elstir's finest landscapes: III 138. "
Baden-Baden	48.762655	 8.24094	"48.762655, 8.24094"		No	Baden-Baden	Germany	Odette		I	377	377	Odette once led a gay life there: I 377.
Bagatelle 	30.481405	 -84.192741	"30.481405, -84.192741"		Yes	Bagatelle 	France		II 559; IV 272	II; IV			Farm-restaurant near Balbec: II 559; IV 272.
Balbec 	40.523519	 -85.149115	"40.523519, -85.149115"	See also Rooms in Index of Themes	Yes	Balbec 	France	"Legrandin's sister, Albertine, Bloch's sister, Gomorrhan"		I; II			"Remembered by the narnuor: I 8. Legrandin's sister lives in the neighbourhood: 79. Described by Legrandin: 154-8. M's room in the Grand Hôtel: 461. M's imagined Balbeq ""the land of the Cimmerians""; its ""Persian"" church; the poetry of its name: 461-8. Norpois's opinion of Balbec and its church: II 41. M goes there with his grand-mother: 253-60. Old Balbec, Balbec-en-Terre; M's disappointment with the church: 272-4. The ""little train"": 330-32, 335-46 The Casino: 368, 412, 425; behaviour of the ""little band"" there: 534-7, 546- The sea-front: 425-6. The cliffs of Canapville: 471-2, 491. Gimcrack splendour of Balbec's architecture: 477. Elstir's studio and his Balbec sea- scapes: 478-85. His enthusiasm for the ""Persian"" church: 485-7 (cf. III 408). The Mayor, the dentist, and other person- alities of Balbec identified by Albertine: 534-5. Farms in the neighbourhood; picnics on the cliffs: 559-60. End of the season at Balbec; M's memories of his stay: 613-18. Balbec bay the ""gulf of opal paînted by Whîstler"": III 23. M's desire for Albertine confused with his desire for Balbec: 404—6, 407-8. M's second visit: IV 174-615. The manager of the Grand Hôtel and his malapropisms: 174-9, 188. Life at the hôtel; the lift-boy, the pages; a Bacinian stage-set: 199-201 (cf. 279—80). Views of the sea: 211 —12. The little train and its nicknames: 212. At the Casino Albertine stares at Bloch's sister and cousin in the mirror: 232-3. Girls on the beach: 273-6. A scandai at the Grand Hôtel: 278. Nissim Bernard and the fledgling waiter: 278-82. Gomorrhan behaviour there: 287-90. Etymology of the name Balbec: 388-9. Roads near Balbec and their associations for M: 475-6. Corrupting efîect of the country round Balbec—""this too social valley"": 592-3. The two pictures of Balbec; Albenine's sleep evokes nights of full moon on the bay: V 69-73. Albertine's trip to Balbec with the chauffeur 148 (cf. 381). Bathing establish-ment at the Grand Hôtel: 562. M's rétrospective musings about the Albertine of Balbec and her possible Gomorrhan activities: 570-96 passim. Aimé's report on his investigative mission to Balbec: 588-90. ""My Hell was the whole région of Balbec"": 592—3. The Grand Hôtel a stage-set for the différent dramas of M's life: 619-20. M visits Balbec with the Saint- Loups: 784-5. M's memories of Balbec and the sea revived by a starched napkin: VI 219-20, 225-7. (See also Rooms in Index of Themes) "
Bayeux	28.116791	 -80.668236	"28.116791, -80.668236"		No	Bayeux	France		"I 464, IV 240"				One of the stops on the I.22 train: I 464. What its name evokes: 468. A stained glass window in its cathedral decorated with the arms of the Arrachepels: IV 240.
Bayreuth	49.945189	 11.571023	"49.945189, 11.571023"		No	Bayreuth	Germany	Odette	"I 362-3, III 621,IV 172, 248"				"Odette's proposed trip: I 362-3. The Prince of X lets his castie during the festival: III 621. Visitors to Bayreuth: IV 172, 248."
Bearn	47.291225	 -79.329119	"47.291225, -79.329119"		No	Bearn	Switzerland			V	30	30	Correct way of pronouncing: V 30
Beaumont 	33.929375	 -116.975059	"33.929375, -116.975059"		No	Beaumont 	France			IV	466	468	Hill near Balbec with a view of the sea through woods: IV 466-8 (cf. II 331).
Beauvais	49.429558	 2.08322	"49.429558, 2.08322"			Beauvais	France	"Verdurin, Villeparisis, Charlus"	"I 248, II 272, III 6, IV 163"				"Mme Verdurin's Beauvais tapestry settee: I 248. Its cathedral: 352; II 272; III 6. Captain de Borodino posted there: 146. Mme de Villeparisis's Beauvais chairs: 213, 233, 310. Charlus's Beauvais chairs: 649. A Beauvais armchair illustrating the Rape of Europa: IV 163. "
Benodet	47.87672	 -4.113078	"47.87672, -4.113078"			Benodet	France			I	464	464	One of the stops on the 1.22 train: I 464. What its name evokes: 468
Berlin	52.516074	 13.376987	"52.516074, 13.376987"		No	Berlin	Germany	"Prince Von's wife,Norpois,Charlus"	"II 37, III 280, V 732, VI 195"				The Wilhelmstrasse: II 37. The Spree: III 280. Prince Von's wife a leading light in the most exclusive set in Berlin: 294. Unter den Linden (Norpois): V 732; Unter den Linden (Charlus): VI 195.
